2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
2.126148901,2.892102569,2.98097426,3.137299495,3.620402314,3.563523279,3.577980638,3.488713408,3.253811187,3.288894569,3.303140208,3.322768894,3.328257682,3.354634941,3.385222901,3.419712548,3.457864262,3.521186492,3.567046283,3.616087035,3.383063418,3.40302392,3.438366288,3.47161287
2.112475673,2.852650548,2.938522074,3.091203532,3.57473728,3.52574529,3.541804235,3.455345161,3.224913201,3.260875765,3.276206109,3.296807181,3.301103382,3.328261345,3.359571539,3.394733271,3.433513673,3.497200683,3.543612859,3.593177147,3.3565834,3.37687153,3.412996965,3.454410277
2.106913289,2.760563345,2.839813783,2.984405306,3.462094648,3.424350273,3.442472622,3.361190559,3.140248925,3.177080724,3.193866512,3.215710359,3.213526298,3.241324214,3.273172199,3.308781549,3.347929033,3.41129376,3.457913065,3.507624838,3.270815196,3.29135329,3.328645832,3.379560551
2.107510906,2.741371137,2.818495213,2.960669611,3.445947278,3.419283546,3.440057315,3.361738622,3.144147773,3.182849264,3.201513069,3.225145763,3.222983261,3.252478809,3.285991641,3.323242143,3.36401463,3.428973636,3.477209878,3.528539182,3.282021906,3.303400123,3.354231018,3.40753772
2.102300414,2.672760167,2.744752918,2.88065646,3.36373534,3.347599641,3.370469636,3.296488505,3.086327868,3.126109524,3.146263968,3.171218875,3.164326009,3.194691083,3.228996703,3.266973624,3.308414562,3.373557341,3.422352473,3.474201049,3.225173593,3.246943193,3.308160852,3.362660447
2.111690313,2.66794932,2.739147546,2.874202093,3.35845694,3.343374292,3.36630977,3.292510714,3.08270759,3.122403511,3.142481218,3.167331996,3.163032189,3.19340517,3.227685307,3.265606571,3.306964225,3.371973572,3.420635643,3.472328499,3.222541231,3.244221614,3.306036439,3.360365338
2.112452713,2.716370368,2.791396069,2.930942779,3.406515454,3.37221596,3.390621928,3.311161232,3.094202513,3.130784644,3.147608277,3.169379658,3.167486325,3.195098232,3.226677938,3.261943934,3.300678654,3.363247201,3.40931544,3.458418184,3.223377224,3.243670442,3.282507242,3.332862004
2.911359789,3.380479724,3.500892085,3.695852132,4.226722325,4.121039983,4.126515264,4.011232478,3.726743153,3.758214049,3.765527892,3.779227176,3.834743474,3.85912049,3.888100106,3.921328905,3.958531664,4.02459379,4.07017231,4.11916412,3.874263287,3.893160327,3.925849288,3.944399465
2.939078403,3.408712462,3.52892589,3.723814302,4.258090972,4.145538453,4.149509204,4.031907874,3.743989997,3.774529969,3.780779534,3.793496936,3.850441644,3.874006499,3.902209575,3.934691206,3.97117105,4.036675358,4.081569653,4.129890244,3.888869825,3.907379782,3.939035897,3.956512366
2.826113992,3.109182133,3.207365261,3.375599344,3.885340708,3.80166029,3.810644181,3.708513142,3.450564886,3.482803751,3.492781859,3.50859869,3.538665284,3.563111836,3.591919122,3.624757039,3.661368859,3.724698845,3.769252371,3.817059681,3.584199216,3.603062546,3.635699649,3.655033446
