2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1.7834,1.8475,1.9614,1.9899,1.9035,2.3807,2.4431,2.4888,2.4657,2.3452
1.6167,1.7371,1.846,1.8715,1.8012,2.1964,2.2501,2.2891,2.2646,2.1503
1.5434,1.656,1.7566,1.7756,1.6261,2.13,2.1883,2.232,2.2143,2.1095
1.3612,1.4749,1.5758,1.6265,1.6275,1.9402,1.9989,2.0441,2.0336,1.944
1.3619,1.4758,1.5769,1.6278,1.67,1.9293,1.986,2.0295,2.0175,1.9268
1.3907,1.5082,1.6132,1.6679,1.8297,1.9489,2.0022,2.0423,2.0262,1.9306
1.5401,1.6608,1.7698,1.7965,1.7781,2.073,2.1193,2.1522,2.125,2.0129
1.4563,1.5851,1.7018,1.737,4.6021,2.0174,2.0665,2.1024,2.08,1.975
3.7829,4.0574,4.413,4.4878,5.4475,4.7697,4.5206,4.4938,4.3324,3.9833
4.4509,4.753,5.1665,5.2865,5.9131,5.5986,5.2899,5.2533,5.0588,4.6442
4.796,5.1182,5.5691,5.7199,6.4963,6.0505,5.7199,5.6807,5.4707,5.0227
5.2863,5.6199,6.1036,6.2783,6.2428,6.6269,6.2409,6.1919,5.9562,5.4604
5.0714,5.4004,5.8703,6.0351,6.1681,6.3745,6.012,5.9672,5.7429,5.2681
5.0107,5.3376,5.8027,5.964,6.4908,6.3029,5.9486,5.9054,5.6845,5.2159
5.2749,5.6104,6.0955,6.2716,6.4468,6.6202,6.2377,6.1894,5.9546,5.4598
5.2405,5.5746,6.0566,6.2301,6.28,6.5716,6.1853,6.1357,5.9012,5.4088
5.1006,5.4314,5.9039,6.0706,6.0612,6.4032,6.0282,5.9804,5.7524,5.273
4.9408,5.2614,5.7157,5.8674,6.3965,6.1874,5.8172,5.7694,5.5476,5.0832
5.2415,5.5624,6.0308,6.192,6.1564,6.5419,6.1554,6.1055,5.8716,5.3809
5.0435,5.3584,5.8124,5.9628,6.032,6.3175,5.9671,5.9248,5.7044,5.2356
4.9554,5.2639,5.7069,5.8481,5.8694,6.1983,5.8529,5.8112,5.5948,5.1347
4.8588,5.1548,5.5789,5.7031,2.8977,6.0566,5.7211,5.6808,5.4697,5.0204
4.5863,4.8775,2.8226,2.7727,2.3026,4.0838,3.9886,3.9956,3.8858,3.6123
1.9702,2.0539,2.1949,2.2456,2.2356,2.6271,2.6895,2.7341,2.7024,2.5631
1.9274,2.0058,2.1396,2.1844,2.1137,2.5507,2.6103,2.6525,2.6208,2.4845
1.8386,1.9102,2.0338,2.0705,2.0296,2.3973,2.4507,2.4884,2.4565,2.3264
1.7691,1.8383,1.9569,1.99,1.7652,2.3053,2.3571,2.3937,2.3635,2.2389
1.4326,1.5641,1.6835,1.7214,1.6623,2.0316,2.0861,2.1269,2.1091,2.0083
1.3288,1.4602,1.5789,1.6469,1.6767,1.9218,1.9766,2.0182,2.0046,1.9124
1.3254,1.4614,1.5847,1.6572,1.7446,1.9131,1.9655,2.0049,1.9893,1.8954
1.3751,1.516,1.6446,1.6919,1.8555,1.9963,2.0509,2.0916,2.0748,1.9763
1.5023,1.6395,1.7648,1.8073,4.9931,2.1066,2.1583,2.1957,2.1722,2.0624
4.1048,4.389,4.7682,4.8606,5.8329,5.1457,4.8497,4.8125,4.6303,4.246
4.7713,5.0819,5.518,5.6546,6.2021,5.9627,5.5979,5.5483,5.331,4.8798
5.0337,5.3631,5.8316,5.9955,6.6432,6.3205,5.9453,5.8951,5.6668,5.1905
5.3963,5.7369,6.2323,6.4161,6.4326,6.7606,6.3533,6.2977,6.0516,5.5403
5.2203,5.5562,6.0395,6.2145,6.4143,6.554,6.1683,6.1168,5.8806,5.387
5.205,5.5406,6.0227,6.197,6.7218,6.5271,6.1329,6.0795,5.8423,5.3491
5.4624,5.8047,6.3045,6.4915,6.6233,6.8233,6.3906,6.3295,6.0765,5.5563
5.3801,5.7204,6.2145,6.3973,6.5856,6.7252,6.3007,6.241,5.9922,5.4801
5.3688,5.7036,6.1907,6.3667,6.1022,6.696,6.2706,6.2105,5.9622,5.4517
4.9685,5.292,5.7504,5.9052,6.4144,6.2202,5.8393,5.7875,5.5607,5.0901
5.2318,5.5609,6.0366,6.2041,6.1678,6.5475,6.1588,6.1068,5.8704,5.377
5.0271,5.3505,5.8116,5.9685,6.0092,6.3274,5.989,5.9481,5.7284,5.2595
4.9092,5.2258,5.6743,5.8207,5.9066,6.1758,5.8481,5.809,5.5953,5.1384
4.8648,5.1694,5.6021,5.7336,2.8317,6.0849,5.7502,5.7089,5.4959,5.0433
4.5761,4.8688,2.7506,2.7021,2.2892,4.0341,3.9428,3.9496,3.8409,3.5704
1.9363,2.0264,2.1721,2.2277,2.2143,2.547,2.6003,2.6368,2.5992,2.4571
1.9213,1.996,2.1257,2.1668,2.0842,2.4547,2.4877,2.5162,2.4735,2.3303
1.8167,1.887,2.0083,2.0431,1.8375,2.3153,2.345,2.372,2.3319,2.1971
1.4469,1.594,1.7287,1.7805,1.7546,2.0231,2.0678,2.0993,2.0722,1.9621
1.3821,1.5242,1.6537,1.7016,1.0635,1.9268,1.9688,1.9983,1.9721,1.8668
0.5522,0.7174,0.8665,0.962,0.9977,1.1976,1.2573,1.3075,1.3241,1.2924
0.5027,0.6645,0.8095,0.9008,0.927,1.1745,1.2404,1.2965,1.3198,1.2959
0.4548,0.611,0.7504,0.8359,0.9488,1.1657,1.2402,1.3041,1.3357,1.3207
0.4657,0.6246,0.7667,0.8549,4.5458,1.2016,1.2791,1.3457,1.379,1.3642
3.7304,4.0096,4.3639,4.4361,5.0939,4.7543,4.5574,4.5421,4.3919,4.053
4.1321,4.4366,4.8361,4.9456,5.5117,5.3003,5.0969,5.0829,4.9182,4.5427
4.4321,4.7573,5.1927,5.3323,5.9652,5.7124,5.5036,5.4906,5.3148,4.9116
4.8046,5.1412,5.6042,5.7645,5.8858,6.168,5.9303,5.9128,5.7195,5.281
4.7844,5.1048,5.5517,5.698,5.8361,6.1014,5.8557,5.8358,5.6424,5.2065
4.7438,5.063,5.5067,5.6507,6.0482,6.048,5.8013,5.7809,5.5885,5.1558
4.9167,5.2416,5.6986,5.8526,5.8935,6.2702,6.0218,6.0021,5.804,5.3566
4.7906,5.1113,5.5586,5.7053,5.9738,6.116,5.8782,5.8604,5.6683,5.2331
